Rank,Team,Short Passes pg,Goals,Shots pg,Through Balls pg,Aerials Won,Year 
1,Barcelona,560,98,15.6,9,8.3,2009-2010
2,Real Madrid,464,102,21.5,8,9.9,2009-2011
3,Valencia,402,59,14.3,6,9.2,2009-2012
4,Mallorca,264,57,12.8,3,12.7,2009-2013
5,Sevilla,341,66,13.2,4,12.3,2009-2014
6,Athletic Club,257,50,12.8,2,14.8,2009-2015
7,Villarreal,350,58,12.7,4,9.2,2009-2016
8,Almeria,304,43,11.7,5,8.1,2009-2017
9,Getafe,375,58,14.7,3,8.3,2009-2018
10,Malaga,249,42,11.7,3,9.7,2009-2019
11,Atletico Madrid,340,57,14.6,4,10.2,2009-2020
12,Real Zaragoza,315,44,12.8,4,10.4,2009-2021
13,Racing Santander,287,42,10.8,3,11.3,2009-2022
14,Tenerife,314,40,14.2,3,12.2,2009-2023
15,Real Valladolid,281,37,13.3,3,12.1,2009-2024
16,Sporting Gijon,273,35,10.9,3,9.5,2009-2025
17,Espanyol,322,29,12.2,4,10.2,2009-2026
18,Osasuna,263,37,11.1,3,12.1,2009-2027
19,Deportivo La Coruna,312,35,10.4,2,9.1,2009-2028
20,Xerez,293,40,9.5,3,10,2009-2029
1,Barcelona,694,95,15.8,12,6.2,2010 -2011
2,Real Madrid,432,102,19.1,8,10.1,2011 -2011
3,Valencia,412,64,13.1,6,11.8,2012 -2011
4,Villarreal,420,54,13.9,7,7.8,2013 -2011
5,Atletico Madrid,347,62,15.1,6,10.7,2014 -2011
6,Real Zaragoza,307,41,14,5,13.9,2015 -2011
7,Sevilla,399,64,13.8,4,13.7,2016 -2011
8,Osasuna,296,46,12.7,3,17,2017 -2011
9,Sporting Gijon,290,35,11.6,4,12,2018 -2011
10,Athletic Club,308,59,13.4,3,15.6,2019 -2011
11,Mallorca,321,41,13,8,15.6,2020 -2011
12,Racing Santander,347,41,12.3,6,12.8,2021 -2011
13,Malaga,339,54,11.8,4,11.9,2022 -2011
14,Real Sociedad,290,46,11.3,2,16.3,2023 -2011
15,Getafe,351,49,13.8,4,11.6,2024 -2011
16,Deportivo La Coruna,317,31,11,3,14,2025 -2011
