Rank,Team,Short Passes pg,Goals,Shots pg,Through Balls pg,Aerials Won,Year ,Champion 
1,Barcelona,560,98,15.6,9,8.3,2009-2010,1
2,Real Madrid,464,102,21.5,8,9.9,,0
3,Valencia,402,59,14.3,6,9.2,,0
4,Mallorca,264,57,12.8,3,12.7,,0
5,Sevilla,341,66,13.2,4,12.3,,0
6,Athletic Club,257,50,12.8,2,14.8,,0
7,Villarreal,350,58,12.7,4,9.2,,0
8,Almeria,304,43,11.7,5,8.1,,0
9,Getafe,375,58,14.7,3,8.3,,0
10,Malaga,249,42,11.7,3,9.7,,0
11,Atletico Madrid,340,57,14.6,4,10.2,,0
12,Real Zaragoza,315,44,12.8,4,10.4,,0
13,Racing Santander,287,42,10.8,3,11.3,,0
14,Tenerife,314,40,14.2,3,12.2,,0
15,Real Valladolid,281,37,13.3,3,12.1,,0
16,Sporting Gijon,273,35,10.9,3,9.5,,0
17,Espanyol,322,29,12.2,4,10.2,,0
18,Osasuna,263,37,11.1,3,12.1,,0
19,Deportivo La Coruna,312,35,10.4,2,9.1,,0
20,Xerez,293,40,9.5,3,10,,0
1,Barcelona,694,95,15.8,12,6.2,2010 -2011,1
2,Real Madrid,432,102,19.1,8,10.1,,0
3,Valencia,412,64,13.1,6,11.8,,0
4,Villarreal,420,54,13.9,7,7.8,,0
5,Atletico Madrid,347,62,15.1,6,10.7,,0
6,Real Zaragoza,307,41,14,5,13.9,,0
7,Sevilla,399,64,13.8,4,13.7,,0
8,Osasuna,296,46,12.7,3,17,,0
9,Sporting Gijon,290,35,11.6,4,12,,0
10,Athletic Club,308,59,13.4,3,15.6,,0
11,Mallorca,321,41,13,8,15.6,,0
12,Racing Santander,347,41,12.3,6,12.8,,0
13,Malaga,339,54,11.8,4,11.9,,0
14,Real Sociedad,290,46,11.3,2,16.3,,0
15,Getafe,351,49,13.8,4,11.6,,0
16,Deportivo La Coruna,317,31,11,3,14,,0
17,Espanyol,381,46,12.3,5,10.2,,0
18,Hercules,351,36,10.5,3,14.4,,0
19,Levante,275,43,10.4,4,13.8,,0
20,Almeria,291,38,12.2,3,13.8,,0
1,Barcelona,655,114,16.5,13,5.7,2011-2012,0
2,Real Madrid,474,120,19.3,7,8.4,,1
3,Malaga,398,54,14,3,11.7,,0
4,Real Sociedad,337,46,12.6,3,13.9,,0
5,Sevilla,379,47,15.4,5,15.3,,0
6,Athletic Club,434,50,12.2,4,12.2,,0
